fold,heldout_log,n_train_original,n_train_augmented,n_val,n_iter,accuracy,balanced_accuracy,macro_f1,weighted_f1,final_loss
1,rep_bed-to-lavatory,7187,10292,398,69,0.7236180904522613,0.7369389256806474,0.5616034132459424,0.746490448348378,0.30510951388906987
2,rep_bed_tv,6688,9668,897,167,0.8071348940914158,0.806453203469399,0.8006534065317293,0.8038679458077819,0.2806419941255817
3,rep_dinning,6507,9368,1078,78,0.7708719851576994,0.7877329007096843,0.7612460849924745,0.7715989009136948,0.31327139490473005
4,rep_kitchen-long,6572,9416,1013,49,0.786771964461994,0.8095988587833989,0.7545306312816671,0.7843047419579319,0.35046091759516174
5,rep_kitchen-short,6998,10028,587,112,0.797274275979557,0.7013714887468273,0.691545716949526,0.7962618980424405,0.2954000683577145
6,rep_left_bed,7053,10088,532,90,0.7218045112781954,0.7989944580464614,0.6151252520704806,0.736265650627713,0.30405314183151744
7,rep_right_kitchen,6284,9008,1301,79,0.776325903151422,0.6896885558335553,0.6091286551634221,0.7853970045918267,0.30443888315169176
8,rep_waiting_room,7001,10016,584,81,0.7705479452054794,0.7800306637806638,0.7629168131070057,0.7686074602848937,0.3048461569216758
9,rep_wc,6390,9284,1195,112,0.8192468619246862,0.7909888939250769,0.7971685087926225,0.8163919339559008,0.3011077418024588
